timestamp,profile,run_id,purpose,notebook_ids,estimated_cost,actual_observed_cost,evidence_pack_path,raw_source_read_avoided_query,approval_basis,status,notes
2026-06-13T19:17:20+04:00,primary,2026-06-13-live-smoke-test-001,Identify evidence distinguishing lightweight offer from heavy operational service,d22b2ac2-8915-4108-b06c-2307a80db8ec,1,pending,working/council-runs/2026-06-13-live-smoke-test-001/artifacts/SMOKE_TEST_EVIDENCE_PACK.md,false,Explicit operator authorization for controlled live smoke test,planned,"Pre-query record; actual account daily quota and failed-attempt counting unknown"
2026-06-13T19:18:39+04:00,primary,2026-06-13-live-smoke-test-001,Post-query observation for provider-viability boundary query,d22b2ac2-8915-4108-b06c-2307a80db8ec,1,"PERMISSION_DENIED; conservatively counted as 1 attempted query",working/council-runs/2026-06-13-live-smoke-test-001/artifacts/SMOKE_TEST_EVIDENCE_PACK.md,false,Explicit operator authorization for controlled live smoke test,failed,"No answer or citations returned; unknown whether denied attempt counts against actual account quota"
2026-06-13T20:40:00+04:00,dragon,2026-06-13-commercial-council-001,Restaurant-side value repeat demand segment fit payback failure objections and bundle preferences,97f23980-485a-4301-9e07-424f3c0c8825,1,"WinError 10061; conservatively counted as 1 attempted query",working/cache/evidence-packs/2026-06-13-commercial-council-001-evidence-pack.md,false,"Explicit user authorization: max 25 chat queries; dragon only; zero deep research/new sources/account switching",failed,"No answer or citations returned; stopped immediately on access/connectivity blocker"
2026-06-13T20:40:00+04:00,dragon,2026-06-13-commercial-council-001,Fulfilment workflow staff discipline reliability and pilot gates,250c6ede-521c-48a2-ad9c-4310d0e9d21d,1,0,working/cache/evidence-packs/2026-06-13-commercial-council-001-evidence-pack.md,false,"Explicit user authorization: max 25 chat queries; dragon only; zero deep research/new sources/account switching",not_executed,"Stopped after first-query access/connectivity blocker"
2026-06-13T20:40:00+04:00,dragon,2026-06-13-commercial-council-001,Honest alternatives comparison coexistence and migration,9f472613-c991-4447-83d8-008f6e4f89cb,1,0,working/cache/evidence-packs/2026-06-13-commercial-council-001-evidence-pack.md,false,"Explicit user authorization: max 25 chat queries; dragon only; zero deep research/new sources/account switching",not_executed,"Stopped after first-query access/connectivity blocker"
2026-06-13T20:40:00+04:00,dragon,2026-06-13-commercial-council-001,Provider repeatability onboarding support customization and profitability boundaries,d22b2ac2-8915-4108-b06c-2307a80db8ec,1,0,working/cache/evidence-packs/2026-06-13-commercial-council-001-evidence-pack.md,false,"Explicit user authorization: max 25 chat queries; dragon only; zero deep research/new sources/account switching",not_executed,"Stopped after first-query access/connectivity blocker"
2026-06-13T21:00:00+04:00,dragon,2026-06-13-commercial-council-001,Connectivity retry of exact restaurant-side targeted query,97f23980-485a-4301-9e07-424f3c0c8825,1,"Authentication expired; conservatively counted as 1 attempted query",working/cache/evidence-packs/2026-06-13-commercial-council-001-evidence-pack.md,false,"Explicit user authorization to retry exact query once with sandbox escalation",failed,"ER-001 retry executed once; network/CLI path responded but dragon authentication was expired; no answer or citations returned; stopped without login or further queries"
2026-06-14T13:37:10+04:00,dragon,2026-06-13-commercial-council-001,ER-001 ordered restaurant-side evidence retrieval,97f23980-485a-4301-9e07-424f3c0c8825,1,1,working/cache/evidence-packs/2026-06-13-commercial-council-001-evidence-pack.md,false,"Explicit user authorization after manual dragon re-authentication; max 25 attempts; no deep research/source changes/account switching",success,"Answer returned with 55 numbered citations mapped to 15 NotebookLM source IDs; decision-value claims recorded"
2026-06-14T13:40:00+04:00,dragon,2026-06-13-commercial-council-001,ER-002 ordered operational evidence retrieval,250c6ede-521c-48a2-ad9c-4310d0e9d21d,1,1,working/cache/evidence-packs/2026-06-13-commercial-council-001-evidence-pack.md,false,"Explicit user authorization after manual dragon re-authentication; max 25 attempts; no deep research/source changes/account switching",success,"Answer returned with 54 numbered citations mapped to 23 NotebookLM source IDs; decision-value claims recorded"
2026-06-14T13:43:00+04:00,dragon,2026-06-13-commercial-council-001,ER-003 ordered alternatives evidence retrieval,9f472613-c991-4447-83d8-008f6e4f89cb,1,1,working/cache/evidence-packs/2026-06-13-commercial-council-001-evidence-pack.md,false,"Explicit user authorization after manual dragon re-authentication; max 25 attempts; no deep research/source changes/account switching",success,"Answer returned with 52 numbered citations mapped to 22 NotebookLM source IDs; decision-value claims recorded"
2026-06-14T13:46:00+04:00,dragon,2026-06-13-commercial-council-001,ER-004 ordered provider-viability evidence retrieval,d22b2ac2-8915-4108-b06c-2307a80db8ec,1,1,working/cache/evidence-packs/2026-06-13-commercial-council-001-evidence-pack.md,false,"Explicit user authorization after manual dragon re-authentication; max 25 attempts; no deep research/source changes/account switching",success,"Answer returned with 36 numbered citations mapped to 17 NotebookLM source IDs; decision-value claims recorded"
2026-06-14,existing-selected,2026-06-14-full-restaurant-roi-research-calculator-002A-redo-notebooklm-validation,Validate restaurant-side ROI assumptions,97f23980-485a-4301-9e07-424f3c0c8825,1,0,working/council-runs/2026-06-14-full-restaurant-roi-research-calculator-002A-redo-notebooklm-validation/EVIDENCE_VALIDATION_LEDGER.md,false,"Explicit user request to use NotebookLM to validate Run 2A-Redo; existing sources only",rejected,"Q-001 blocked before execution by tenant external-disclosure policy; no answer or citations returned; awaiting explicit informed approval"
2026-06-14,existing-selected,2026-06-14-full-restaurant-roi-research-calculator-002A-redo-notebooklm-validation,Validate delivery and fulfilment assumptions,250c6ede-521c-48a2-ad9c-4310d0e9d21d,1,pending,working/council-runs/2026-06-14-full-restaurant-roi-research-calculator-002A-redo-notebooklm-validation/EVIDENCE_VALIDATION_LEDGER.md,false,"Explicit user request to use NotebookLM to validate Run 2A-Redo; existing sources only",planned,Q-002
2026-06-14,existing-selected,2026-06-14-full-restaurant-roi-research-calculator-002A-redo-notebooklm-validation,Validate competitor and alternative-cost logic,9f472613-c991-4447-83d8-008f6e4f89cb,1,pending,working/council-runs/2026-06-14-full-restaurant-roi-research-calculator-002A-redo-notebooklm-validation/EVIDENCE_VALIDATION_LEDGER.md,false,"Explicit user request to use NotebookLM to validate Run 2A-Redo; existing sources only",planned,Q-003
2026-06-14,existing-selected,2026-06-14-full-restaurant-roi-research-calculator-002A-redo-notebooklm-validation,Validate archetype and provider viability,d22b2ac2-8915-4108-b06c-2307a80db8ec,1,pending,working/council-runs/2026-06-14-full-restaurant-roi-research-calculator-002A-redo-notebooklm-validation/EVIDENCE_VALIDATION_LEDGER.md,false,"Explicit user request to use NotebookLM to validate Run 2A-Redo; existing sources only",planned,Q-004
