id,number,conservative,base,optimistic,label,reasoning,evidence,confidence,geography,formula,sensitivity,replacement_measurement
NA-001,Eligible repeat marketplace migration rate,2-5%,8-12%,15-20%,SCENARIO_VARIABLE,Customer switching friction is real; use only eligible repeat orders not total marketplace volume,EV-0001;EV-0008,Medium,UAE/GCC,shifted_repeat_orders / eligible_repeat_marketplace_orders,High,Tracked customer-source repeat migration
NA-002,Effective marketplace burden,18%,25%,35%,SUPPORTED_ESTIMATE,Commission and fees vary by contract and promotion exposure,EV-0001,Medium,UAE,marketplace_cost / marketplace_order_value,High,Restaurant actual marketplace statements
NA-003,Food contribution margin,35%,45%,60%,INTERNAL_PLANNING_ASSUMPTION,Restaurant category and menu mix vary widely,EV-0003,Low/Medium,UAE,contribution_profit / net_sales,High,Restaurant COGS and menu margin
NA-004,Direct incentive rate,0-5%,7-10%,10-15%,SCENARIO_VARIABLE,Direct channel may need customer reason to switch,EV-0001;EV-0008,Medium,UAE,incentive_value / order_value,High,Pilot discount/loyalty redemption data
NA-005,Stripe UAE online card fee,2.9% + AED 1,2.9% + AED 1,2.9% + AED 1,VERIFIED_EXTERNAL_FACT,Official Stripe UAE pricing page,EV-0015,High,UAE,order_value*0.029 + 1,Medium,Active processor statement
NA-006,Stripe dispute fee,AED 60,AED 60,AED 60,VERIFIED_EXTERNAL_FACT,Official Stripe UAE pricing page,EV-0015,High,UAE,disputes * 60,Low/Medium,Processor statement
NA-007,Direct delivery per order cost,AED 10-20,AED 14-28,AED 28-40,SCENARIO_VARIABLE,Delivery cost depends on radius density model and SLA,EV-0002;EV-0012,Low/Medium,UAE,total_delivery_cost / deliveries,Very high,Pilot delivery invoices and rider cost
NA-008,Ordering Page setup,AED 1500,AED 2000,AED 2500,PROVISIONAL_COUNCIL_DECISION,Entry paid product above static menu but below full site,EV-0009;EV-0010,Medium,UAE,package price,High,Close rate and margin by pilot
NA-009,Website + Ordering setup,AED 3000,AED 4250,AED 5500,PROVISIONAL_COUNCIL_DECISION,More implementation/content than ordering page,EV-0009;EV-0010,Medium,UAE,package price,High,Close rate and build time
NA-010,Direct Orders Dashboard setup,AED 6000,AED 8000,AED 10000,PROVISIONAL_COUNCIL_DECISION,Dashboard/ops complexity and onboarding burden,EV-0004;EV-0006,Medium,UAE,package price,High,Pilot build/support hours
NA-011,Direct Commerce setup,AED 10000,AED 14000,AED 18000,PROVISIONAL_COUNCIL_DECISION,Advanced scope with modules and operational depth,EV-0004;EV-0006,Low/Medium,UAE,package price,High,Pilot close rate and support
NA-012,Monthly support/hosting low package,AED 150,AED 250,AED 300,PROVISIONAL_COUNCIL_DECISION,Must cover hosting/support floor with cap,EV-0004;EV-0027,Medium,UAE,monthly fee,High,Support minutes and infra cost
NA-013,Monthly support/hosting advanced,AED 500,AED 900,AED 1500,PROVISIONAL_COUNCIL_DECISION,Advanced support and monitoring burden,EV-0004;EV-0027;EV-0028,Low/Medium,UAE,monthly fee,High,Support minutes and usage
NA-014,Provider support allowance basic,30 min,60 min,90 min,INTERNAL_PLANNING_ASSUMPTION,Support must be capped to preserve margin,EV-0004,Medium,UAE,support_minutes/month,High,Actual ticket minutes
NA-015,Provider support allowance advanced,2 h,4 h,6 h,INTERNAL_PLANNING_ASSUMPTION,Advanced products need more included help,EV-0004,Medium,UAE,support_hours/month,High,Actual ticket minutes
NA-016,AI assistant recurring,AED 800,AED 1200,AED 2000,PROVISIONAL_COUNCIL_DECISION,AI usage/support must be capped or passed through,EV-0028;EV-0027,Low/Medium,UAE,monthly fee + usage cap,High,Token/tool usage and support tickets
