repository_name,github_url,local_path,current_commit_sha,default_branch,license_if_obvious,primary_category,important_files_found,notes,clone_status
llm-council,https://github.com/karpathy/llm-council.git,reference-sources/github/llm-council,92e1fccb1bdcf1bab7221aa9ed90f9dc72529131,master,Not obvious,Council protocol,README.md,"Three-stage opinions, anonymous review, chairman synthesis; application/install details are out of scope",success
notebooklm-mcp-cli,https://github.com/jacob-bd/notebooklm-mcp-cli.git,reference-sources/github/notebooklm-mcp-cli,6d41c75e21dae89d7bf6f43a71e3095239a28281,main,License file present,NotebookLM tooling reference,"README.md; src/notebooklm_tools/data/SKILL.md; references/workflows.md","Text inspected only; no commands or NotebookLM operations executed",success
ngmeyer-skills,https://github.com/ngmeyer/skills.git,reference-sources/github/ngmeyer-skills,2934439abe3ba841d333f94685c2b01c2ed5f439,main,License file present,Composable council and review skills,"skills/productivity/council-review/SKILL.md; skills/engineering/adversarial-review/SKILL.md","Strong separation between open-decision council and artifact stress test",success
boardroom_skills,https://github.com/teemutuo/boardroom_skills.git,reference-sources/github/boardroom_skills,dc097fc01207d36a2b50ca861304339a6854f30a,main,Apache-2.0,Business role council,"SKILL.md; roles/; output-formats/","Sealed role contexts and explicit dissent/quantitative anchors",success
llm-council-skill,https://github.com/tenfoldmarc/llm-council-skill.git,reference-sources/github/llm-council-skill,0dc03275b0ddf542545da3a9684510fff31df353,main,Not obvious,Legible council adaptation,"README.md; SKILL.md","Clear framing, parallel advisors, anonymous peer review, actionable synthesis",success
agent-council,https://github.com/yogirk/agent-council.git,reference-sources/github/agent-council,f6d1e1ad9c6597c03e7922f2bae41c73b7b760b2,main,License file present,Cross-CLI council,"README.md; skills/claude-code/*/SKILL.md","Useful quorum, grace window, revisit, outcome, and nudge concepts; external execution is risky",success
agent-tower-plugin,https://github.com/BayramAnnakov/agent-tower-plugin.git,reference-sources/github/agent-tower-plugin,54a70c31fe849e6ebaa454cec446e03640bca894,master,Not obvious,Dynamic deliberation modes,"README.md; SKILL.md; commands/agents.md","Dynamic persona selection and council/debate/deliberate mode routing",success
Deep-Research-skills,https://github.com/Weizhena/Deep-Research-skills.git,reference-sources/github/Deep-Research-skills,e5479f857f484cde13fe69d2f3ce8de7af193bc7,master,License file present,Human-gated research workflow,"README.md; agents/web-search-agent.md; skills/research-codex-en/research/SKILL.md; research-deep/SKILL.md","Useful outline/fields/batching/resume/checkpoint concepts; research execution not run",success
ai-research-skills,https://github.com/WenyuChiou/ai-research-skills.git,reference-sources/github/ai-research-skills,336e10e33328fb6562fd505d4a8e22b52f84c8c4,main,License file present,Evidence-governed research catalog,"README.md; docs/researcher-workflow-checklist.md","Useful source-bundle verification idea; installation and NotebookLM workflows rejected for setup",success
pm-skills,https://github.com/product-on-purpose/pm-skills.git,reference-sources/github/pm-skills,f82e5d23bc528f2771608e80479532eaae2324e7,main,License file present,Atomic skills and orchestration,"AGENTS.md; agents/pm-workflow-orchestrator.md; commands/workflow-*.md","Strong explicit invocation, stop-on-empty/failure, minimal state, checkpoint rules",success
agentbrain,https://github.com/rohitg00/agentbrain.git,reference-sources/github/agentbrain,c84e1df927f2c805ff582c1092e5ad30ebe7b1d4,main,License file present,Evidence-first artifacts and handoffs,"AGENTBRAIN.md; PRINCIPLES.md; ANTI_RATIONALIZATION.md; .claude/skills/brain-research/SKILL.md; templates/research-claim-ledger.md","Useful source-of-truth wrappers, claim ledger, stop conditions",success
agent-skills,https://github.com/addyosmani/agent-skills.git,reference-sources/github/agent-skills,d187883b7d761265309cdcc0f202cc76b4b3fb06,main,License file present,Workflow and verification patterns,"AGENTS.md; skills/doubt-driven-development/SKILL.md; agents/README.md","Useful artifact+contract isolation, fresh-context review, reconciliation, stop limits",success
