variable_id,label,unit,scenario_conservative,scenario_base,scenario_optimistic,formula_or_note
monthly_orders,Monthly total orders,orders,,,,"Owner input"
aov,Average order value,AED/order,,,,"Owner input"
contribution_margin,Contribution margin after food/packaging,decimal,,,,"Owner input"
aggregator_share,Aggregator order share,decimal,,,,"Owner input"
aggregator_deduction_rate,Actual aggregator deductions,decimal,0.15,0.25,0.35,"Editable scenario; verify statement"
shift_rate,Share of total orders shifted direct,decimal,0.02,0.07,0.15,"Scenario assumption"
incremental_rate,Incremental direct orders as total share,decimal,0,0.02,0.05,"Scenario assumption"
gateway_percent,Direct payment gateway percent,decimal,0.029,0.029,0.029,"Stripe UAE reference; edit for provider"
gateway_fixed,Direct payment fixed fee,AED/order,1,1,1,"Stripe UAE reference; edit for provider"
direct_discount_rate,Direct-channel discount,decimal,0,0.05,0.10,"Owner input"
shifted_orders,Shifted direct orders,orders/month,,,,"MIN(monthly_orders*aggregator_share,monthly_orders*shift_rate)"
incremental_orders,Incremental direct orders,orders/month,,,,"monthly_orders*incremental_rate"
avoided_deductions,Avoided marketplace deductions,AED/month,,,,"shifted_orders*aov*aggregator_deduction_rate"
shifted_gateway_cost,Gateway cost on shifted orders,AED/month,,,,"shifted_orders*(aov*gateway_percent+gateway_fixed)"
shifted_discount_cost,Discount cost on shifted orders,AED/month,,,,"shifted_orders*aov*direct_discount_rate"
shifted_net_benefit,Net shifted-order benefit before fulfilment delta,AED/month,,,,"avoided_deductions-shifted_gateway_cost-shifted_discount_cost"
incremental_contribution,Incremental direct contribution before fulfilment,AED/month,,,,"incremental_orders*aov*contribution_margin-incremental_orders*(aov*gateway_percent+gateway_fixed)-incremental_orders*aov*direct_discount_rate"
manual_orders,Manual WhatsApp/phone orders,orders/month,,,,"Owner input"
minutes_saved,Minutes saved per manual order,minutes,3,5,8,"Scenario assumption"
loaded_hourly_value,Loaded staff value,AED/hour,,,,"Owner input"
staff_time_value,Staff capacity value,AED/month,,,,"manual_orders*minutes_saved/60*loaded_hourly_value"
mistake_rate_reduction,Mistake/missed order reduction,decimal,0.01,0.03,0.05,"Scenario assumption"
average_error_cost,Average contribution/refund cost per error,AED/event,,,,"Owner input"
error_value,Error/lost-order value protected,AED/month,,,,"manual_orders*mistake_rate_reduction*average_error_cost"
catering_wins,Incremental won catering/group orders,orders/month,0,1,3,"Archetype-specific scenario"
catering_ticket,Average catering/group ticket,AED/order,,,,"Owner input"
catering_margin,Catering contribution margin,decimal,,,,"Owner input"
catering_upside,Catering contribution upside,AED/month,,,,"catering_wins*catering_ticket*catering_margin"
monthly_system_cost,Support hosting API AI WhatsApp costs,AED/month,,,,"Owner input"
setup_cost,Setup cost,AED,,,,"Owner input"
monthly_net_impact,Estimated monthly net impact,AED/month,,,,"SUM(non-overlapping benefits)-monthly_system_cost-new fulfilment costs"
payback_months,Estimated payback,months,,,,"IF(monthly_net_impact>0,setup_cost/monthly_net_impact,no break-even)"
